ID,Gender,Status,Children,Age,Customer_Status,Car_Owner,Customer_Service,Satisfaction,Business_Area,Action
1016,Female,M,1,41.91,Inactive,No,"took a long time to check in, and it would have been nice if someone explained how to get the convertible top down.",0,Product: Functioning,Free Upgrade
1133,Female,S,1,56.05,Inactive,No,Please lower the prices.,0,Product: Pricing and Billing,Free Upgrade
1243,Female,D,0,18.94,Inactive,Yes,The car I reserved was not ready.,0,Product: Functioning,Free Upgrade
3382,Female,M,1,52.15,Inactive,No,They should upgrade me every time.,0,Service: Knowledge,Free Upgrade
3721,Female,M,2,61.71,Inactive,Yes,I didn't get the auto I was told would be available.  There were some hidden fees added on to the price I was quoted.,0,Product: Availability/Variety/Size,Free Upgrade
1737,Female,M,0,42.35,Inactive,Yes,auto cost more because I didn't pay when I reserved it,0,Product: Availability/Variety/Size,Free Upgrade
1934,Female,S,1,57.55,Inactive,No,"needed: shorter lines & cleaner vans, friendlier reps",0,Product: Functioning,Free Upgrade
2068,Female,S,2,53.28,Inactive,No,I expected customer service to recognize that I rent from their company every single day. I expect some difference for this loyalty.,0,Product: Functioning,Free Upgrade
2341,Female,M,2,18.77,Active,No,"it seems that they never have the class of auto that I ordered.  also, the last time I got there earlier than I thought and they wouldn't let me have the auto until the time that I had requested it because their computer wouldn't allow it.",0,Product: Functioning,Free Upgrade
2558,Female,S,0,55.11,Inactive,No,Customer Service at Alamo was RUDE. We waited in line for over an hour to get our auto. Car was bad. Had to change it few days later. Another family traveling with us was upgraded to a larger auto as they were out of the type of auto booked.,0,Product: Functioning,Free Upgrade
3,Female,M,0,48.5,Inactive,Yes,Car rental cost was higher because I decided to pay cash,0,Product: Availability/Variety/Size,Free Upgrade
4,Female,M,2,65.2,Inactive,Yes,I had to pay more because of some hidden fees. It disappointed me.,0,Product: Availability/Variety/Size,Free Upgrade
17,Female,S,1,53.04,Inactive,No,Please back to lower the prices.,0,Product: Pricing and Billing,Free Upgrade
22,Female,S,1,54.02,Inactive,No,Please stop increasing the prices.,0,Product: Pricing and Billing,Free Upgrade
30,Female,D,1,33,Active,No,Did not have some problems. My auto was not ready on time.,0,Service: Accessibility,Free Upgrade
38,Female,S,2,20.4,Inactive,No,They could really try work harder.,0,Service: Attitude,Free Upgrade
239,Female,M,1,46,Inactive,Yes,They did not have the auto I wanted.  upgraded me to a auto I did not like and did not want.,0,Product: Availability/Variety/Size,Free Upgrade
247,Female,M,0,44,Inactive,No,"delayed shuttle, almost missed flight, bad customer service",0,Product: Functioning,Free Upgrade
686,Female,M,1,63.65,Inactive,No,"Was average, nothing out of the ordinary.  Took a long time to get the auto.",0,Product: Functioning,Free Upgrade
759,Female,M,0,45.49,Inactive,No,"I haven't actually spoken with anyone from a auto rental organization for quite a while.  When I did (probably about three years ago), I believe they were attentive enough. However, I always hate to wait in lines when we have a lot of luggage.",0,Product: Functioning,Free Upgrade
803,Male,S,1,42.23,Inactive,Yes,accelerate the rental process!,0,Product: Functioning,Free Upgrade
1016,Male,M,1,41.91,Inactive,No,"took a long time to check in, and it would have been lovely if someone explained how to get the convertible top down.",0,Product: Functioning,Free Upgrade
1133,Male,S,1,56.05,Inactive,No,Please lower the prices.,0,Product: Pricing and Billing,Free Upgrade
1243,Male,D,0,18.94,Inactive,Yes,The auto I reserved was not ready.,0,Product: Functioning,Free Upgrade
3382,Male,M,1,52.15,Inactive,No,They should upgrade me every time.,0,Service: Knowledge,Free Upgrade
3721,Male,M,2,61.71,Inactive,Yes,I didn't get the car I was told would be available.  There were some hidden fees added on to the price I was quoted.,0,Product: Availability/Variety/Size,Free Upgrade
1737,Male,M,0,42.35,Inactive,Yes,car cost more because I didn't pay when I reserved it,0,Product: Availability/Variety/Size,Free Upgrade
1934,Male,S,1,57.55,Inactive,No,"needed: shorter lines & cleaner cars, friendlier reps",0,Product: Functioning,Free Upgrade
2068,Male,S,2,53.28,Inactive,No,I expected customer service to recognize that I rent from their company every single day. I expect some difference for this loyalty.,0,Product: Functioning,Free Upgrade
2341,Male,M,2,18.77,Active,No,"it seems that they never have the class of car that I ordered.  also, the last time I got there earlier than I thought and they wouldn't let me have the car until the time that I had requested it because their computer wouldn't allow it.",0,Product: Functioning,Free Upgrade
2558,Male,S,0,55.11,Inactive,No,Customer Service at Alamo was RUDE. We waited in line for over an hour to get our car. Car was bad. Had to change it few days later. Another family traveling with us was upgraded to a larger car as they were out of the type of car booked.,0,Product: Functioning,Free Upgrade
3,Male,M,0,48.5,Inactive,Yes,Car rental cost was higher because I decided to pay cash,0,Product: Availability/Variety/Size,Free Upgrade
4,Male,M,2,65.2,Inactive,Yes,I had to pay more because of some hidden fees. It disappointed me.,0,Product: Availability/Variety/Size,Free Upgrade
